# 中国·国家地名信息库 地名公告
# https://dmfw.mca.gov.cn/nameChange.html
# https://dmfw.mca.gov.cn/name/getListOther?title=&pageNum=1&pageSize=12
#
# word	pinyin

001乡道	001xiāngdào
一区楼后路	Yīqūlóuhòulù
一千二路	Yīqiānèrlù
一厂路	Yīchǎng Lù
一原堂一巷	Yīyuántáng 1 Xiàng
一原堂三巷	Yīyuántáng 3 Xiàng
一原堂二巷	Yīyuántáng 2 Xiàng
一原堂正座一巷	Yīyuántáng Zhèngzuò 1 Xiàng
一古坪路	Yīgǔpínglù
一只靴路	Yīzhĭ xuē Lù
一叶路	Yīyè Lù
一号公路	Yīhào Gōnglù
一号巷	1 Hào Xiàng / Yīhào Xiàng
一号巷道	Yīhàohàngdào
一号渠北路	Yīhàoqúběilù
一号渠南路	Yīhàoqúnánlù
一号胡同	1 Hào Hútong
一号街	Yīhào Jiē
一号路	Yīhào Lù
一号道	Yīhào Dào
一和路	Yīhé Lù
一品世家	Yīpǐnshìjiā
一品云上	Yīpǐnyúnshàng
一品云上二期	Yīpǐnyúnshàngèrqī
一品华庭	Yīpǐn Huátíng
一品商业大楼	Yīpǐnshāngyèdàlóu
一品巷	Yīpǐn Xiàng
一品红路	Yīpǐnhóng Lù
一品臻樾小区	Yīpǐnzhēnyuèxiǎoqū
一品路	Yīpǐnlù
一四巷	Yīsìxiàng
一围东一巷	Yīwéi Dōng 1 Xiàng
一围东二巷	Yīwéi Dōng 2 Xiàng
一围北一巷	Yīwéi Běi 1 Xiàng
一围北二巷	Yīwéi Běi 2 Xiàng
一围南一巷	Yīwéi Nán 1 Xiàng
一围南二巷	Yīwéi Nán 2 Xiàng
一围新厝东二巷	Yīwéi Xīncuò Dōng 2 Xiàng
一围新厝西二巷	Yīwéi Xīncuò Xī 2 Xiàng
一围新座东一巷	Yīwéi Xīnzuò Dōng 1 Xiàng
一围新座东三巷	Yīwéi Xīnzuò Dōng 3 Xiàng
一围新座东二巷	Yīwéi Xīnzuò Dōng 2 Xiàng
一围新座北一巷	Yīwéi Xīnzuò Běi 1 Xiàng
一围新座南一巷	Yīwéi Xīnzuò Nán 1 Xiàng
一围新座后楼巷	Yīwéi Xīnzuò Hòulóu Xiàng
一围西一巷	Yīwéi Xī 1 Xiàng
一围西二巷	Yīwéi Xī 2 Xiàng
一图桥	Yītúqiáo
一圣路	Yīshènglù
一场路	Yīchǎng Lù
一均路	Yījūn Lù
一坊村上街一巷	Yīfāngcūn Shàngjiē 1 Xiàng
一坊村上街七巷	Yīfāngcūn Shàngjiē 7 Xiàng
一坊村上街三巷	Yīfāngcūn Shàngjiē 3 Xiàng
一坊村上街九巷	Yīfāngcūn Shàngjiē 9 Xiàng
一坊村上街二十一巷	Yīfāngcūn Shàngjiē 21 Xiàng
一坊村上街二十三巷	Yīfāngcūn Shàngjiē 23 Xiàng
一坊村上街二十二巷	Yīfāngcūn Shàngjiē 22 Xiàng
一坊村上街二十五巷	Yīfāngcūn Shàngjiē 25 Xiàng
一坊村上街二十六巷	Yīfāngcūn Shàngjiē 26 Xiàng
一坊村上街二十四巷	Yīfāngcūn Shàngjiē 24 Xiàng
一坊村上街二十巷	Yīfāngcūn Shàngjiē 20 Xiàng
一坊村上街二巷	Yīfāngcūn Shàngjiē 2 Xiàng
一坊村上街五巷	Yīfāngcūn Shàngjiē 5 Xiàng
一坊村上街八巷	Yīfāngcūn Shàngjiē 8 Xiàng
一坊村上街六巷	Yīfāngcūn Shàngjiē 6 Xiàng
一坊村上街十一巷	Yīfāngcūn Shàngjiē 11 Xiàng
一坊村上街十七巷	Yīfāngcūn Shàngjiē 17 Xiàng
一坊村上街十三巷	Yīfāngcūn Shàngjiē 13 Xiàng
一坊村上街十九巷	Yīfāngcūn Shàngjiē 19 Xiàng
一坊村上街十二巷	Yīfāngcūn Shàngjiē 12 Xiàng
一坊村上街十五巷	Yīfāngcūn Shàngjiē 15 Xiàng
一坊村上街十八巷	Yīfāngcūn Shàngjiē 18 Xiàng
一坊村上街十六巷	Yīfāngcūn Shàngjiē 16 Xiàng
一坊村上街十四巷	Yīfāngcūn Shàngjiē 14 Xiàng
一坊村上街十巷	Yīfāngcūn Shàngjiē 10 Xiàng
一坊村上街四巷	Yīfāngcūn Shàngjiē 4 Xiàng
一坊村下街一巷	Yīfāngcūn Xiàjiē 1 Xiàng
一坊村下街七巷	Yīfāngcūn Xiàjiē 7 Xiàng
一坊村下街三巷	Yīfāngcūn Xiàjiē 3 Xiàng
一坊村下街九巷	Yīfāngcūn Xiàjiē 9 Xiàng
一坊村下街二十一巷	Yīfāngcūn Xiàjiē 21 Xiàng
一坊村下街二十七巷	Yīfāngcūn Xiàjiē 27 Xiàng
一坊村下街二十三巷	Yīfāngcūn Xiàjiē 23 Xiàng
一坊村下街二十九巷	Yīfāngcūn Xiàjiē 29 Xiàng
一坊村下街二十二巷	Yīfāngcūn Xiàjiē 22 Xiàng
一坊村下街二十五巷	Yīfāngcūn Xiàjiē 25 Xiàng
一坊村下街二十八巷	Yīfāngcūn Xiàjiē 28 Xiàng
一坊村下街二十六巷	Yīfāngcūn Xiàjiē 26 Xiàng
一坊村下街二十四巷	Yīfāngcūn Xiàjiē 24 Xiàng
一坊村下街二十巷	Yīfāngcūn Xiàjiē 20 Xiàng
一坊村下街二巷	Yīfāngcūn Xiàjiē 2 Xiàng
一坊村下街五巷	Yīfāngcūn Xiàjiē 5 Xiàng
一坊村下街八巷	Yīfāngcūn Xiàjiē 8 Xiàng
一坊村下街六巷	Yīfāngcūn Xiàjiē 6 Xiàng
一坊村下街十一巷	Yīfāngcūn Xiàjiē 11 Xiàng
一坊村下街十七巷	Yīfāngcūn Xiàjiē 17 Xiàng
一坊村下街十三巷	Yīfāngcūn Xiàjiē 13 Xiàng
一坊村下街十九巷	Yīfāngcūn Xiàjiē 19 Xiàng
一坊村下街十二巷	Yīfāngcūn Xiàjiē 12 Xiàng
一坊村下街十五巷	Yīfāngcūn Xiàjiē 15 Xiàng
一坊村下街十八巷	Yīfāngcūn Xiàjiē 18 Xiàng
一坊村下街十六巷	Yīfāngcūn Xiàjiē 16 Xiàng
一坊村下街十四巷	Yīfāngcūn Xiàjiē 14 Xiàng
一坊村下街十巷	Yīfāngcūn Xiàjiē 10 Xiàng
一坊村下街四巷	Yīfāngcūn Xiàjiē 4 Xiàng
一坪路	Yīpínglù
一垾路	Yīhàn Lù
一基地路	Yījīdì Lù
一多路	Yīduō Lù
一大街	Yīdà Jiē
一大路	Yīdàlù
一天路	Yìtiānlù
一天门村	Yìtiānméncūn
一天门街	Yītiānmén Jiē
一天门路	Yìtiānmén Lù
一字墙路	Yīzìqiáng Lù
一字山巷	Yīzìshān Xiàng
一字街	Yīzì Jiē
一字路	Yīzì Lù
一宗海祠西村道北一巷	Yīzōnghǎicíxīcūndào Běi 1 Xiàng
一宫小吃街	Yīgōngxiǎochī Jiē
一宫巷	Yīgōng Xiàng
一家人胡同	Yījiārén Hútong
一家坝路	Yījiābà Lù
一家子一街	Yījiāzi 1 Jiē
一家子三街	Yījiāzi 3 Jiē
一家子二街	Yījiāzi 2 Jiē
一家巷	1 Jiā Xiàng / Yījiā Xiàng
一家路	Yījiā Lù
一家里	Yījiā Lǐ
一富街	Yīfù Jiē
一富路	Yīfù Lù
一寨街	yīzhài jiē
一对胡同	Yīduì Hútong
一小巷	
一小路	Yīxiǎo Lù
一尘街	Yīchén Jiē
一尺胡同	Yīchǐ Hútong
一尺街	Yīchǐ Jiē
一屯东街	Yītúndōngjiē
一屯北一街	Yītúnběiyījiē
一屯北三街	Yītúnběisānjiē
一屯北二街	Yītúnběièrjiē
一屯南一街	Yītúnnányījiē
一屯南三街	Yītúnnánsānjiē
一屯南二街	Yītúnnánèrjiē
一屯南四街	Yītúnnánsìjiē
一屯南路	Yītúnnán Lù
一屯街	Yītún Jiē
一屯西街	Yītúnxījiē
一岗路	Yīgǎnglù
一峰雅居府	Yīfēngyǎjūfǔ
一巫路	Yīwú Lù
一巷	1 Xiàng / Yī Xiàng
一帆东巷	Yīfāndōng Xiàng
一帆西巷	Yīfānxī Xiàng
一帆风顺路	Yīfānfēngshùnlù
一干路大街	yì gān lù dà jiē
一幼路	Yíyòu Lù
一府六县巷	Yīfǔliùxiàn Xiàng
一度大厦	Yídùdàshà
一康路	Yīkāng Lù
一弯道街	Yīwāndào Jiē
一彪路	Yībiāolù
一德南街	Yīdénánjiē
一德街	Yīdéjiē
一德路	Yīdé Lù
一德里街	Yīdélǐ Jiē
一心排路	Yīxīnpái Lù
一心桥	Yīxīnqiáo
一心桥北街	Yīxīnqiáoběi Jiē
一心桥巷	Yīxīnqiáo Xiàng
一心老街	Yīxīnlǎo Jiē
一心街	Yīxīn Jiē
一心路	Yīxīn Lù
一户小巷	Yīhùxiǎoxiàng
一户里	Yīhù Lǐ
一把伞巷	Yībǎsǎn Xiàng
一排一巷	Yīpái 1 Xiàng
一排二巷	Yīpái 2 Xiàng
一排入迳大街	Yīpáirùjìng Dàjiē
一排鸭吨巷	Yīpáiyādūn Xiàng
一支排路	Yīzhīpáilù
一支渠路	Yìzhīqú Lù / Yīzhīqú Lù
一支路	Yīzhīlù
一斗山桥	Yīdòushānqiáo
一斗渠路	Yīdǒuqúlù
一新村	Yīxīn Cūn
一新街	Yīxīn Jiē
一新路	Yīxīn Lù
一方一路	Yīfāng 1 Lù
一方三路	YīFāngSānLù
一方二路	Yīfāng 2 Lù
一方路	Yīfāng Lù
一星路	Yīxīng Lù
一曼路	Yīmàn Lù
一望山街	Yīwàngshānjiē
一村一街路	Yīcūn Yījiē Lù
一村东路	Yīcūndōnglù
一村桂东围东一巷	Yīcūn Guìdōngwéi Dōng 1 Xiàng
一村桂东围东三巷	Yīcūn Guìdōngwéi Dōng 3 Xiàng
一村桂东围东二巷	Yīcūn Guìdōngwéi Dōng 2 Xiàng
一村桂东围后楼一巷	Yīcūn Guìdōngwéi Hòulóu 1 Xiàng
一村桂东围后楼二巷	Yīcūn Guìdōngwéi Hòulóu 2 Xiàng
一村桂东围西一巷	Yīcūn Guìxīwéi Xī 1 Xiàng
一村桂东围西二巷	Yīcūn Guìxīwéi Xī 2 Xiàng
一村环村路	Yīcūn Huáncūn Lù
一村花园	Yīcūn Huāyuán
一村西路	Yīcūn Xīlù
一村路	Yīcūn Lù
一条岭巷	Yītiáolǐng Xiàng
一条弄	Yītiáo Lòng
一条街	Yītiáo Jiē
一条龙胡同	Yītiáolónghútòng
一枫路	Yīfēnglù
一桂森围东二巷	Yīguìsēnwéi Dōng 2 Xiàng
一桂芬东一巷	Yīguìfēn Dōng 1 Xiàng
一桂芬东三巷	Yīguìfēn Dōng 3 Xiàng
一桂芬东二巷	Yīguìfēn Dōng 2 Xiàng
一桂芬后楼一巷	Yīguìfēn Hòulóu 1 Xiàng
一桂芬后楼二巷	Yīguìfēn Hòulóu 2 Xiàng
一桂芬围一巷	Yīguìfēnwéi 1 Xiàng
一桂芬围西一巷	Yīguìfēnwéi Xī 1 Xiàng
一桂苑围后楼巷	Yīguìyuànwéi Hòulóu Xiàng
一桂菀围东一巷	Yīguìwǎnwéi Dōng 1 Xiàng
一桂菀围东二巷	Yīguìwǎnwéi Dōng 2 Xiàng
一桂菀围西二巷	Yīguìwǎnwéi Xī 2 Xiàng
一桂香围后楼一巷	Yīguìxiāngwéi Hòulóu 1 Xiàng
一桂香围后楼二巷	Yīguìxiāngwéi Hòulóu 2 Xiàng
一桥路	Yīqiáo lù
一桥路一巷	Yīqiáolùyīxiàng
一桥路三巷	Yīqiáolùsānxiàng
一桥路二巷	Yīqiáolùèrxiàng
一棵树桥	Yīkēshù Qiáo
一棵树街	Yīkēshù Jiē
一横巷	1 Héngxiàng
一横路	Yīhénglù
一步两桥路	Yībù Liǎngqiáo Lù
一步巷	Yībù Xiàng
一民路	Yīmín Lù
一水厂巷	Yīshuǐchǎng Xiàng
一水路	Yīshuǐlù
一永兴里一巷	Yīyǒngxīnglǐ 1 Xiàng
一永兴里二巷	Yīyǒngxīnglǐ 2 Xiàng
一永兴里北一巷	Yīyǒngxīnglǐ Běi 1 Xiàng
一永兴里北二巷	Yīyǒngxīnglǐ Běi 2 Xiàng
一永兴里南一巷	Yīyǒngxīnglǐ Nán 1 Xiàng
一永兴里南二巷	Yīyǒngxīnglǐ Nán 2 Xiàng
一江风华花园	Yījiāngfēnghuá Huāyuán
一河两岸油菜写生基地	Yīhéliǎngànyóucàixiěshēngjīdì
一河路	Yīhé Lù
