# 现代汉语词典（第7版）-2016年
# 原始词条：70,101（合并后67,439）
#
# 字词	序号	完整字词	拼音

艾叶豹	00130	艾叶豹	àiyèbào
艾鼬	00131	艾鼬	àiyòu
艾滋病	00132	艾滋病	àizībìng
㤅	00133	㤅	ài
砹	00134	砹	ài
唉	00135	唉	ài
爱	00136	爱（愛）	ài
爱…不…	00137	爱…不…	ài…bù…
爱不释手	00138	爱不释手	àibùshìshǒu
爱财如命	00139	爱财如命	àicái-rúmìng
爱巢	00140	爱巢	àicháo
爱称	00141	爱称	àichēng
爱搭不理	00142	爱搭不理	àidā-bùlǐ
爱答不理	00143	爱答不理	àidā-bùlǐ
爱戴	00144	爱戴	àidài
爱抚	00145	爱抚	àifǔ
爱岗	00146	爱岗	àigǎng
爱国	00147	爱国	ài//guó
爱国主义	00148	爱国主义	àiguó zhǔyì
爱好	00149	爱好	àihào
爱河	00150	爱河	àihé
爱护	00151	爱护	àihù
爱将	00152	爱将	àijiàng
爱克斯刀	00153	爱克斯刀	àikèsīdāo
爱克斯射线	00154	爱克斯射线	àikèsī shèxiàn
爱理不理	00155	爱理不理	àilǐ-bùlǐ
爱怜	00156	爱怜	àilián
爱恋	00157	爱恋	àiliàn
爱侣	00158	爱侣	àilǚ
爱面子	00159	爱面子	ài miàn·zi
爱莫能助	00160	爱莫能助	àimònéngzhù
爱慕	00161	爱慕	àimù
爱情	00162	爱情	àiqíng
爱人	00163	爱人	ài·ren
爱神	00164	爱神	àishén
爱斯基摩人	00165	爱斯基摩人	Àisījīmórén
爱窝窝	00166	爱窝窝	àiwō·wo
爱屋及乌	00167	爱屋及乌	àiwū-jíwū
爱惜	00168	爱惜	àixī
爱惜羽毛	00169	爱惜羽毛	àixī yǔmáo
爱小	00170	爱小	àixiǎo
爱心	00171	爱心	àixīn
爱欲	00172	爱欲	àiyù
爱重	00173	爱重	àizhòng
𫣊	00174	𫣊（僾）	ài
𫣊尼	00175	𫣊尼	àiní
隘	00176	隘	ài
隘口	00177	隘口	àikǒu
隘路	00178	隘路	àilù
𫉁	00179	𫉁（薆）	ài
碍	00180	碍（礙）	ài
碍口	00181	碍口	ài//kǒu
碍面子	00182	碍面子	ài miàn·zi
碍难	00183	碍难	àinán
碍事	00184	碍事	ài//shì
碍手碍脚	00185	碍手碍脚	àishǒu-àijiǎo
碍眼	00186	碍眼	ài//yǎn
碍于	00187	碍于	àiyú
嗳	00188	嗳（噯）	ài
嗌	00189	嗌	ài
嫒	00190	嫒（嬡）	ài
瑷	00191	瑷（璦）	ài
叆	00192	叆（靉）	ài
叆叇	00193	叆叇	àidài
暧	00194	暧（曖）	ài
暧昧	00195	暧昧	àimèi
厂	00196	厂	ān
广	00197	广	ān
安	00198	安1	ān
安	00199	安2	ān
安	00200	安3	ān
安邦定国	00201	安邦定国	ānbāng-dìngguó
安保	00202	安保	ānbǎo
安步当车	00203	安步当车	ānbù-dàngchē
安瓿	00204	安瓿	ānbù
安插	00205	安插	ānchā
安厝	00206	安厝	āncuò
安抵	00207	安抵	āndǐ
安定	00208	安定	āndìng
安堵	00209	安堵	āndǔ
安度	00210	安度	āndù
安顿	00211	安顿	āndùn
安放	00212	安放	ānfàng
安分	00213	安分	ānfèn
安分守己	00214	安分守己	ānfèn-shǒujǐ
安抚	00215	安抚	ānfǔ
安好	00216	安好	ānhǎo
安家	00217	安家	ān//jiā
安家立业	00218	安家立业	ānjiā-lìyè
安家落户	00219	安家落户	ānjiā-luòhù
安监	00220	安监	ānjiān
安检	00221	安检	ānjiǎn
安静	00222	安静	ānjìng
安居	00223	安居	ānjū
安居乐业	00224	安居乐业	ānjū-lèyè
安康	00225	安康	ānkāng
安拉	00226	安拉	Ānlā
安澜	00227	安澜	ānlán
安乐	00228	安乐	ānlè
安乐死	00229	安乐死	ānlèsǐ
安乐窝	00230	安乐窝	ānlèwō
安乐椅	00231	安乐椅	ānlèyǐ
安理会	00232	安理会	Ānlǐhuì
安谧	00233	安谧	ānmì
安眠	00234	安眠	ānmián
安眠药	00235	安眠药	ānmiányào
安民告示	00236	安民告示	ānmín gào·shi
安宁	00237	安宁	ānníng
安排	00238	安排	ānpái
安培	00239	安培	ānpéi
安培表	00240	安培表	ānpéibiǎo
安培计	00241	安培计	ānpéijì
安贫乐道	00242	安贫乐道	ānpín-lèdào
安琪儿	00243	安琪儿	ānqí’ér
安寝	00244	安寝	ānqǐn
安全	00245	安全	ānquán
安全玻璃	00246	安全玻璃	ānquán bō·li
安全带	00247	安全带	ānquándài
安全岛	00248	安全岛	ānquándǎo
安全电压	00249	安全电压	ānquán diànyā
安全理事会	00250	安全理事会	Ānquán Lǐshìhuì
安全门	00251	安全门	ānquánmén
安全套	00252	安全套	ānquántào
安全剃刀	00253	安全剃刀	ānquán tìdāo
安全系数	00254	安全系数	ānquán xìshù
安全线	00255	安全线	ānquánxiàn
安然	00256	安然	ānrán
安然无恙	00257	安然无恙	ānrán-wúyàng
安如磐石	00258	安如磐石	ānrúpánshí
安如泰山	00259	安如泰山	ānrútàishān
安设	00260	安设	ānshè
安身	00261	安身	ān//shēn
安身立命	00262	安身立命	ānshēn-lìmìng
安神	00263	安神	ān//shén
安生	00264	安生	ān·shēng
安适	00265	安适	ānshì
安睡	00266	安睡	ānshuì
安泰	00267	安泰	āntài
安恬	00268	安恬	āntián
安帖	00269	安帖	āntiē
安土重迁	00270	安土重迁	āntǔ-zhòngqiān
安妥	00271	安妥	āntuǒ
安危	00272	安危	ānwēi
安慰	00273	安慰	ānwèi
安慰剂	00274	安慰剂	ānwèijì
安慰赛	00275	安慰赛	ānwèisài
安稳	00276	安稳	ānwěn
安息	00277	安息	ānxī
安息日	00278	安息日	ānxīrì
安闲	00279	安闲	ānxián
安详	00280	安详	ānxiáng
安享	00281	安享	ānxiǎng
安歇	00282	安歇	ānxiē
安心	00283	安心1	ān//xīn
安心	00284	安心2	ānxīn
安逸	00285	安逸	ānyì
安营	00286	安营	ān//yíng
安营扎寨	00287	安营扎寨	ānyíng-zhāzhài
安于	00288	安于	ānyú
安葬	00289	安葬	ānzàng
安枕	00290	安枕	ānzhěn
安之若素	00291	安之若素	ānzhī-ruòsù
安置	00292	安置	ānzhì
安装	00293	安装	ānzhuāng
垵	00294	垵	ān
桉	00295	桉	ān
氨	00296	氨	ān
氨基	00297	氨基	ānjī
氨基酸	00298	氨基酸	ānjīsuān
氨纶	00299	氨纶	ānlún
氨气	00300	氨气	ānqì
氨水	00301	氨水	ānshuǐ
庵	00302	庵（①②⁎菴）	ān
庵堂	00303	庵堂	āntáng
庵子	00304	庵子	ān·zi
谙	00305	谙（諳）	ān
谙达	00306	谙达	āndá
谙练	00307	谙练	ānliàn
谙熟	00308	谙熟	ānshú
媕	00309	媕	ān
媕婀	00310	媕婀	ān’ē
鹌	00311	鹌（鵪）	ān
鹌鹑	00312	鹌鹑	ān·chún
腤	00313	腤	ān
𩽾	00314	𩽾（鮟）	ān
𩽾𩾌	00315	𩽾𩾌	ānkāng
鞍	00316	鞍（△⁎鞌）	ān
鞍韂	00317	鞍韂	ānchàn
鞍鞯	00318	鞍鞯	ānjiān
鞍马	00319	鞍马	ānmǎ
鞍马劳顿	00320	鞍马劳顿	ānmǎ-láodùn
鞍前马后	00321	鞍前马后	ānqián-mǎhòu
鞍子	00322	鞍子	ān·zi
鞌	00323	鞌	ān
盦	00324	盦1	ān
盦	00325	盦2	ān
垵	00326	垵	ǎn
咹	00327	咹	ǎn
俺	00328	俺	ǎn
埯	00329	埯	ǎn
唵	00330	唵1	ǎn
唵	00331	唵2	ǎn
唵	00332	唵3	ǎn
铵	00333	铵（銨）	ǎn
铵根	00334	铵根	ǎngēn
揞	00335	揞	ǎn
犴	00336	犴	àn
岸	00337	岸（⁎㟁）	àn
岸标	00338	岸标	ànbiāo
岸炮	00339	岸炮	ànpào
岸然	00340	岸然	ànrán
按	00341	按1	àn
按	00342	按2	àn
按兵不动	00343	按兵不动	ànbīng-bùdòng
按部就班	00344	按部就班	ànbù-jiùbān
按键	00345	按键	ànjiàn
按揭	00346	按揭	ànjiē
按金	00347	按金	ànjīn
按扣儿	00348	按扣儿	ànkòur
按理	00349	按理	àn//lǐ
按例	00350	按例	ànlì
按脉	00351	按脉	àn//mài
按摩	00352	按摩	ànmó
按捺	00353	按捺（按纳）	ànnà
按钮	00354	按钮	ànniǔ
按期	00355	按期	ànqī
按时	00356	按时	ànshí
按说	00357	按说	ànshuō
按图索骥	00358	按图索骥	àntú-suǒjì
按下葫芦浮起瓢	00359	按下葫芦浮起瓢	àn xià hú·lu fú qǐ piáo
按压	00360	按压	ànyā
按语	00361	按语（案语）	ànyǔ
按照	00362	按照	ànzhào
胺	00363	胺	àn
案	00364	案	àn
案板	00365	案板	ànbǎn
案秤	00366	案秤	ànchèng
案底	00367	案底	àndǐ
案牍	00368	案牍	àndú
案发	00369	案发	ànfā
案犯	00370	案犯	ànfàn
案件	00371	案件	ànjiàn
案卷	00372	案卷	ànjuàn
案例	00373	案例	ànlì
案情	00374	案情	ànqíng
案头	00375	案头	àntóu
案头工作	00376	案头工作	àntóu gōngzuò
案由	00377	案由	ànyóu
案语	00378	案语	ànyǔ
案值	00379	案值	ànzhí
案子	00380	案子	àn·zi
暗	00381	暗（△⁎晻、①③⁎闇）	àn
暗暗	00382	暗暗	àn’àn
暗堡	00383	暗堡	ànbǎo
暗藏	00384	暗藏	àncáng
暗娼	00385	暗娼	ànchāng
暗场	00386	暗场	ànchǎng
暗潮	00387	暗潮	àncháo
暗处	00388	暗处	ànchù
暗淡	00389	暗淡	àndàn
暗道	00390	暗道	àndào
暗地	00391	暗地	àndì
暗地里	00392	暗地里	àndì·lǐ
暗度陈仓	00393	暗度陈仓	àndù-chéncāng
暗房	00394	暗房	ànfáng
暗访	00395	暗访	ànfǎng
暗沟	00396	暗沟	àngōu
暗害	00397	暗害	ànhài
暗含	00398	暗含	ànhán
暗号	00399	暗号	ànhào
暗合	00400	暗合	ànhé
暗河	00401	暗河	ànhé
暗盒	00402	暗盒	ànhé
暗花儿	00403	暗花儿	ànhuār
暗火	00404	暗火	ànhuǒ
暗疾	00405	暗疾	ànjí
暗间	00406	暗间	ànjiān
暗箭	00407	暗箭	ànjiàn
暗礁	00408	暗礁	ànjiāo
暗井	00409	暗井	ànjǐng
暗记儿	00410	暗记儿	ànjìr
暗里	00411	暗里	àn·lǐ
暗恋	00412	暗恋	ànliàn
暗流	00413	暗流	ànliú
暗楼子	00414	暗楼子	ànlóu·zi
暗码	00415	暗码	ànmǎ
暗昧	00416	暗昧	ànmèi
暗盘	00417	暗盘	ànpán
暗器	00418	暗器	ànqì
暗弱	00419	暗弱	ànruò
暗杀	00420	暗杀	ànshā
暗沙	00421	暗沙	ànshā
暗伤	00422	暗伤	ànshāng
暗哨	00423	暗哨	ànshào
暗射	00424	暗射	ànshè
暗射地图	00425	暗射地图	ànshè-dìtú
暗示	00426	暗示	ànshì
暗事	00427	暗事	ànshì
暗室	00428	暗室	ànshì
暗送秋波	00429	暗送秋波	ànsòng-qiūbō
暗算	00430	暗算	ànsuàn
暗锁	00431	暗锁	ànsuǒ
暗滩	00432	暗滩	àntān
暗探	00433	暗探	àntàn
暗无天日	00434	暗无天日	ànwú-tiānrì
暗物质	00435	暗物质	ànwùzhì
暗喜	00436	暗喜	ànxǐ
暗匣	00437	暗匣	ànxiá
暗下	00438	暗下	ànxià
暗下里	00439	暗下里	ànxià·lǐ
暗线	00440	暗线	ànxiàn
暗箱	00441	暗箱	ànxiāng
暗箱操作	00442	暗箱操作	ànxiāng cāozuò
暗笑	00443	暗笑	ànxiào
暗影	00444	暗影	ànyǐng
暗语	00445	暗语	ànyǔ
暗喻	00446	暗喻	ànyù
暗中	00447	暗中	ànzhōng
暗转	00448	暗转	ànzhuǎn
暗自	00449	暗自	ànzì
黯	00450	黯	àn
黯淡	00451	黯淡	àndàn
黯黑	00452	黯黑	ànhēi
黯然	00453	黯然	ànrán
黯然神伤	00454	黯然神伤	ànrán-shénshāng
肮	00455	肮（骯）	āng
肮脏	00456	肮脏	āngzāng
卬	00457	卬	áng
昂	00458	昂	áng
昂昂	00459	昂昂	áng’áng
昂藏	00460	昂藏	ángcáng
昂奋	00461	昂奋	ángfèn
昂贵	00462	昂贵	ángguì
昂然	00463	昂然	ángrán
昂首	00464	昂首	ángshǒu
昂首阔步	00465	昂首阔步	ángshǒu-kuòbù
昂扬	00466	昂扬	ángyáng
枊	00467	枊	àng
盎	00468	盎1	àng
盎	00469	盎2	àng
盎格鲁-撒克逊人	00470	盎格鲁-撒克逊人	Ànggélǔ-Sākèxùnrén
盎然	00471	盎然	àngrán
盎司	00472	盎司	àngsī
凹	00473	凹	āo
凹版	00474	凹版	āobǎn
凹镜	00475	凹镜	āojìng
凹面镜	00476	凹面镜	āomiànjìng
凹透镜	00477	凹透镜	āotòujìng
凹陷	00478	凹陷	āoxiàn
熬	00479	熬	āo
熬心	00480	熬心	āoxīn
爊	00481	爊（⁑𤏶）	āo
敖	00482	敖	áo
敖包	00483	敖包	áobāo
隞	00484	隞	Áo
嶅	00485	嶅	áo
遨	00486	遨	áo
遨游	00487	遨游	áoyóu
嗷	00488	嗷	áo
嗷嗷	00489	嗷嗷	áo’áo
嗷嗷待哺	00490	嗷嗷待哺	áo’áo-dàibǔ
廒	00491	廒（⁑厫）	áo
璈	00492	璈	áo
獒	00493	獒	áo
熬	00494	熬	áo
熬煎	00495	熬煎	áojiān
熬磨	00496	熬磨	áo·mó
熬年头儿	00497	熬年头儿	áo niántóur
熬头儿	00498	熬头儿	áo·tour
熬夜	00499	熬夜	áo//yè
聱	00500	聱	áo
螯	00501	螯	áo
螯肢动物	00502	螯肢动物	áozhī-dòngwù
翱	00503	翱（⁎翺）	áo
翱翔	00504	翱翔	áoxiáng
謷	00505	謷	áo
鳌	00506	鳌（鰲、⁎鼇）	áo
鳌山	00507	鳌山	áoshān
鳌头	00508	鳌头	áotóu
嚣	00509	嚣（囂）	Áo
鏖	00510	鏖	áo
鏖战	00511	鏖战	áozhàn
拗	00512	拗（⁎抝）	ǎo
袄	00513	袄（襖）	ǎo
媪	00514	媪	ǎo
𬸩	00515	𬸩（䴈）	ǎo
岙	00516	岙（⁑嶴）	ào
垇	00517	垇	ào
坳	00518	坳（⁎㘭）	ào
拗	00519	拗（⁎抝）	ào
拗口	00520	拗口	àokǒu
拗口令	00521	拗口令	àokǒulìng
奡	00522	奡	ào
傲	00523	傲	ào
傲岸	00524	傲岸	ào’àn
傲骨	00525	傲骨	àogǔ
傲慢	00526	傲慢	àomàn
傲气	00527	傲气	àoqì
傲然	00528	傲然	àorán
傲人	00529	傲人	àorén
傲世	00530	傲世	àoshì
傲视	00531	傲视	àoshì
傲物	00532	傲物	àowù
奥	00533	奥	ào
奥博	00534	奥博	àobó
奥林匹克运动会	00535	奥林匹克运动会	Àolínpǐkè Yùndònghuì
奥秘	00536	奥秘	àomì
奥妙	00537	奥妙	àomiào
奥义	00538	奥义	àoyì
奥援	00539	奥援	àoyuán
奥运村	00540	奥运村	àoyùncūn
奥运会	00541	奥运会	Àoyùnhuì
奥旨	00542	奥旨	àozhǐ
骜	00543	骜（驁）	ào
慠	00544	慠	ào
隩	00545	隩	ào
墺	00546	墺	ào
薁	00547	薁	ào
澳	00548	澳1	ào
澳	00549	澳2	Ào
澳抗	00550	澳抗	àokàng
澳门币	00551	澳门币	àoménbì
懊	00552	懊	ào
懊恨	00553	懊恨	àohèn
懊悔	00554	懊悔	àohuǐ
懊𢙐	00555	懊𢙐	àonáo
懊恼	00556	懊恼	àonǎo
懊丧	00557	懊丧	àosàng
鏊	00558	鏊	ào
鏊子	00559	鏊子	ào·zi
八	00560	八	bā
八拜之交	00561	八拜之交	bābàizhījiāo
八宝菜	00562	八宝菜	bābǎocài
八宝饭	00563	八宝饭	bābǎofàn
八宝粥	00564	八宝粥	bābǎozhōu
八辈子	00565	八辈子	bābèi·zi
八成	00566	八成	bāchéng
八斗才	00567	八斗才	bādǒucái
八方	00568	八方	bāfāng
八分书	00569	八分书	bāfēnshū
八竿子打不着	00570	八竿子打不着	bā gān·zi dǎ bù zháo
八哥	00571	八哥	bā·ge
八股	00572	八股	bāgǔ
八卦	00573	八卦	bāguà
八卦教	00574	八卦教	Bāguàjiào
八国联军	00575	八国联军	Bā Guó Liánjūn
八行书	00576	八行书	bāhángshū
八角	00577	八角	bājiǎo
八角枫	00578	八角枫	bājiǎofēng
八角茴香	00579	八角茴香	bājiǎo huíxiāng
八节	00580	八节	bājié
八九不离十	00581	八九不离十	bā jiǔ bù lí shí
八路	00582	八路	Bālù
八路军	00583	八路军	Bā Lù Jūn
八面光	00584	八面光	bāmiànguāng
八面玲珑	00585	八面玲珑	bāmiàn-línglóng
八面威风	00586	八面威风	bāmiàn-wēifēng
八旗	00587	八旗	bāqí
八下里	00588	八下里	bāxià·lǐ
八仙	00589	八仙	bāxiān
八仙过海	00590	八仙过海	bāxiān-guòhǎi
八仙桌	00591	八仙桌	bāxiānzhuō
八项规定	00592	八项规定	bā xiàng guīdìng
八一建军节	00593	八一建军节	Bā-Yī Jiànjūn Jié
八一南昌起义	00594	八一南昌起义	Bā-Yī Nánchāng Qǐyì
八音	00595	八音	bāyīn
八音盒	00596	八音盒	bāyīnhé
八月节	00597	八月节	Bāyuè Jié
八字	00598	八字	bāzì
八字步	00599	八字步	bāzìbù
八字没一撇	00600	八字没一撇	bā zì méi yī piě
八字帖	00601	八字帖	bāzìtiě
巴	00602	巴1	bā
巴	00603	巴2	Bā
巴	00604	巴3	bā
巴	00605	巴4	bā
巴巴	00606	巴巴	bābā
巴巴结结	00607	巴巴结结	bā·bajiējiē
巴巴儿地	00608	巴巴儿地	bābār·de
巴不得	00609	巴不得	bā·bu·dé
巴旦杏	00610	巴旦杏	bādànxìng
巴豆	00611	巴豆	bādòu
巴结	00612	巴结	bā·jie
巴黎公社	00613	巴黎公社	Bālí Gōngshè
巴林石	00614	巴林石	bālínshí
巴儿狗	00615	巴儿狗	bārgǒu
巴山蜀水	00616	巴山蜀水	bāshān-shǔshuǐ
巴士	00617	巴士	bāshì
巴松	00618	巴松	bāsōng
巴头探脑儿	00619	巴头探脑儿	bātóu-tànnǎor
巴望	00620	巴望	bāwàng
巴乌	00621	巴乌	bāwū
巴掌	00622	巴掌	bā·zhang
扒	00623	扒	bā
扒车	00624	扒车	bā//chē
扒带	00625	扒带	bādài
扒拉	00626	扒拉	bā·la
扒皮	00627	扒皮	bā//pí
扒头儿	00628	扒头儿	bā·tour
叭	00629	叭	bā
叭儿狗	00630	叭儿狗	bārgǒu
朳	00631	朳	bā
芭	00632	芭	bā
芭蕉	00633	芭蕉	bājiāo
芭蕉扇	00634	芭蕉扇	bājiāoshàn
芭蕾舞	00635	芭蕾舞	bālěiwǔ
夿	00636	夿	bā
吧	00637	吧1	bā
吧	00638	吧2	bā
吧嗒	00639	吧嗒	bādā
吧嗒	00640	吧嗒	bā·da
吧唧	00641	吧唧	bājī
吧唧	00642	吧唧	bā·ji
吧女	00643	吧女	bānǚ
吧台	00644	吧台	bātái
岜	00645	岜	bā
峇	00646	峇	bā
疤	00647	疤	bā
疤痕	00648	疤痕	bāhén
疤拉	00649	疤拉	bā·la
疤拉眼儿	00650	疤拉眼儿	bā·layǎnr
疤瘌	00651	疤瘌	bā·la
疤瘌眼儿	00652	疤瘌眼儿	bā·layǎnr
捌	00653	捌	bā
蚆	00654	蚆	bā
笆	00655	笆	bā
笆斗	00656	笆斗	bādǒu
笆篱	00657	笆篱	bālí
笆篱子	00658	笆篱子	bālí·zi
笆篓	00659	笆篓	bālǒu
羓	00660	羓	bā
粑	00661	粑	bā
粑粑	00662	粑粑	bābā
鲃	00663	鲃（䰾）	bā
拔	00664	拔	bá
拔除	00665	拔除	báchú
拔刀相助	00666	拔刀相助	bádāo-xiāngzhù
拔地而起	00667	拔地而起	bádì’érqǐ
拔份	00668	拔份	bá//fèn
拔高	00669	拔高	bá//gāo
拔罐子	00670	拔罐子	bá guàn·zi
拔河	00671	拔河	bá//hé
拔火罐儿	00672	拔火罐儿1	bá huǒguànr
拔火罐儿	00673	拔火罐儿2	báhuǒguànr
拔火筒	00674	拔火筒	báhuǒtǒng
拔尖儿	00675	拔尖儿	bá//jiānr
拔脚	00676	拔脚	bá//jiǎo
拔节	00677	拔节	bá//jié
拔锚	00678	拔锚	bá//máo
拔苗助长	00679	拔苗助长	bámiáo-zhùzhǎng
拔取	00680	拔取	báqǔ
拔丝	00681	拔丝	bá//sī
拔俗	00682	拔俗	bású
拔腿	00683	拔腿	bá//tuǐ
拔营	00684	拔营	bá//yíng
拔擢	00685	拔擢	bázhuó
妭	00686	妭	bá
胈	00687	胈	bá
菝	00688	菝	bá
菝葜	00689	菝葜	báqiā
跋	00690	跋1	bá
跋	00691	跋2	bá
跋扈	00692	跋扈	báhù
跋前疐后	00693	跋前疐后	báqián-zhìhòu
跋前踬后	00694	跋前踬后	báqián-zhìhòu
跋山涉水	00695	跋山涉水	báshān-shèshuǐ
跋涉	00696	跋涉	báshè
跋文	00697	跋文	báwén
跋语	00698	跋语	báyǔ
魃	00699	魃	bá
鼥	00700	鼥	bá
把	00701	把	bǎ
把柄	00702	把柄	bǎbǐng
把持	00703	把持	bǎchí
把舵	00704	把舵	bǎ//duò
把风	00705	把风	bǎ//fēng
把关	00706	把关	bǎ//guān
把家	00707	把家	bǎjiā
把角	00708	把角	bǎjiǎo
把酒	00709	把酒	bǎjiǔ
把口儿	00710	把口儿	bǎkǒur
把揽	00711	把揽	bǎlǎn
把牢	00712	把牢	bǎláo
把脉	00713	把脉	bǎ//mài
把门	00714	把门	bǎmén
把式	00715	把式	bǎ·shi
把势	00716	把势	bǎ·shi
把手	00717	把手	bǎ·shou
把守	00718	把守	bǎshǒu
把头	00719	把头	bǎ·tóu
把玩	00720	把玩	bǎwán
把稳	00721	把稳	bǎwěn
把握	00722	把握	bǎwò
把戏	00723	把戏	bǎxì
把兄弟	00724	把兄弟	bǎxiōngdì
把斋	00725	把斋	bǎ//zhāi
把盏	00726	把盏	bǎzhǎn
把捉	00727	把捉	bǎzhuō
把子	00728	把子1	bǎ·zi
把子	00729	把子2	bǎ·zi
把子	00730	把子3	bǎ·zi
㞎	00731	㞎	bǎ
㞎㞎	00732	㞎㞎	bǎ·ba
钯	00733	钯（鈀）	bǎ
靶	00734	靶	bǎ
靶标	00735	靶标	bǎbiāo
靶场	00736	靶场	bǎchǎng
靶船	00737	靶船	bǎchuán
靶点	00738	靶点	bǎdiǎn
靶机	00739	靶机	bǎjī
靶器官	00740	靶器官	bǎqìguān
靶台	00741	靶台	bǎtái
靶细胞	00742	靶细胞	bǎxìbāo
靶心	00743	靶心	bǎxīn
靶子	00744	靶子	bǎ·zi
