# 中華語文大辭典
# https://github.com/g0v/moedict-data-csld/blob/master/中華語文大辭典全稿-20160620.csv
# 对应中華語文知識庫（台灣版）数据；
#
# 正體字形	簡化字形	字詞流水序	音序	臺／陸特有詞	臺／陸特有音	臺灣漢拼	大陸漢拼

萬人敵	万人敌	1029090004				wànréndí	
萬丈	万丈	1029090005				wànzhànɡ	
萬丈高樓平地起	万丈高楼平地起	1029090006				wàn zhànɡ ɡāolóu pínɡdì qǐ	
萬丈深淵	万丈深渊	1029090007				wànzhànɡ-shēnyuān	
萬千	万千	1029090008				wànqiān	
萬方	万方	1029090009				wànfānɡ	
萬夫不當	万夫不当	1029090011				wànfū-bùdānɡ	
萬夫莫敵	万夫莫敌	1029090012				wànfū-mòdí	
萬元戶	万元户	1029090013		★		wànyuánhù	
萬不得已	万不得已	1029090014				wànbùdéyǐ	
萬分	万分	1029090015				wànfēn	
萬戶侯	万户侯	1029090016				wànhùhóu	
萬水千山	万水千山	1029090017				wànshuǐ-qiānshān	
萬世	万世	1029090018				wànshì	
萬世師表	万世师表	1029090019				wànshì-shībiǎo	
萬古	万古	1029090020				wànɡǔ	
萬古不滅	万古不灭	1029090021				wànɡǔ-búmiè	wànɡǔ-bùmiè
萬古長青	万古长青	1029090022				wànɡǔ-chánɡqīnɡ	
萬古流芳	万古流芳	1029090023				wànɡǔ-liúfānɡ	
萬代	万代	1029090024				wàndài	
萬仞	万仞	1029090025				wànrèn	
萬用表	万用表	1029090027				wànyònɡbiǎo	
萬民	万民	1029090028				wànmín	
萬安橋記	万安桥记	1029090030				wàn’ānqiáojì	
萬有	万有	1029090032				wànyǒu	
萬有引力	万有引力	1029090033				wànyǒu yǐnlì	
萬死	万死	1029090034				wànsǐ	
萬死一生	万死一生	1029090035				wànsǐ-yìshēnɡ	wànsǐ-yīshēnɡ
萬死不辭	万死不辞	1029090036				wànsǐ-bùcí	
萬艾可	万艾可	1029090037		★		wàn’àikě	
萬全	万全	1029090038				wànquán	
萬全之策	万全之策	1029090039				wànquánzhīcè	
萬年	万年	1029090040				wànnián	
萬年木	万年木	1029090041				wànniánmù	
萬年仙人洞吊桶環遺址	万年仙人洞吊桶环遗址	1029090042				wànnián xiānréndònɡ diàotǒnɡhuán yízhǐ	
萬年寺	万年寺	1029090043				wànniánsì	
萬年青	万年青	1029090044				wànniánqīnɡ	
萬年曆	万年历	1029090046				wànniánlì	
萬言書	万言书	1029090047				wànyánshū	
萬劫	万劫	1029090048				wànjié	
萬劫不復	万劫不复	1029090049				wànjié-búfù	wànjié-bùfù
萬里石塘	万里石塘	1029090051				wànlǐ shítánɡ	
萬里長沙	万里长沙	1029090053				wànlǐ chánɡshā	
萬里長城	万里长城	1029090054				wànlǐ chánɡchénɡ	
萬里迢迢	万里迢迢	1029090055				wànlǐ-tiáotiáo	
萬里無雲	万里无云	1029090056				wànlǐ-wúyún	
萬佛堂石窟	万佛堂石窟	1029090058				wànfótánɡ shíkū	
萬幸	万幸	1029090060				wànxìnɡ	
萬松金闕圖	万松金阙图	1029090061				wànsōnɡ jīnquè tú	
萬事	万事	1029090062				wànshì	
萬事大吉	万事大吉	1029090063				wànshì-dàjí	
萬事如意	万事如意	1029090064				wànshì-rúyì	
萬事亨通	万事亨通	1029090065				wànshì-hēnɡtōnɡ	
萬事起頭難	万事起头难	1029090066				wànshì qǐtóu nán	
萬事俱備，只欠東風	万事俱备，只欠东风	1029090067				wànshì-jùbèi,zhǐqiàn-dōnɡfēnɡ	
萬事通	万事通	1029090069				wànshìtōnɡ	
萬花筒	万花筒	1029090070				wànhuātǒnɡ	
萬花樓	万花楼	1029090071				wànhuālóu	
萬金油	万金油	1029090072				wànjīnyóu	
萬念俱灰	万念俱灰	1029090073				wànniàn-jùhuī	
萬物	万物	1029090074				wànwù	
萬物之靈	万物之灵	1029090075				wànwùzhīlínɡ	
萬狀	万状	1029090076				wànzhuànɡ	
萬姓謳思	万姓讴思	1029090078				wànxìnɡ-ōusī	
萬家生佛	万家生佛	1029090080				wànjiā-shēnɡfó	
萬家燈火	万家灯火	1029090081				wànjiā-dēnɡhuǒ	
萬馬奔騰	万马奔腾	1029090082				wànmǎ-bēnténɡ	
萬乘	万乘	1029090084				wànshènɡ	
萬般	万般	1029090085				wànbān	
萬般皆下品，惟有讀書高	万般皆下品，唯有读书高	1029090086				wànbān jiē xiàpǐn,wéiyǒu dúshū ɡāo	
萬般皆是命，半點不由人	万般皆是命，半点不由人	1029090087				wànbān jiē shì mìnɡ,bàndiǎn bù yóu rén	
萬般無奈	万般无奈	1029090088				wànbān-wúnài	
萬能	万能	1029090089				wànnénɡ	
萬能表	万能表	1029090090				wànnénɡbiǎo	
萬能膠	万能胶	1029090091				wànnénɡjiāo	
萬章	万章	1029090092				wànzhānɡ	
萬商雲集	万商云集	1029090093				wànshānɡ-yúnjí	
萬毫齊力	万毫齐力	1029090094				wànháo-qílì	
萬頃	万顷	1029090095				wànqǐnɡ	
萬國	万国	1029090097				wànɡuó	
萬國音標	万国音标	1029090099		▲		wànɡuó yīnbiāo	
萬國語音學字母	万国语音学字母	1029090100		▲		wànɡuó yǔyīnxué zìmǔ	
萬國碼	万国码	1029090101				wànɡuómǎ	
萬眾	万众	1029090102				wànzhònɡ	
萬眾一心	万众一心	1029090103				wànzhònɡ-yìxīn	wànzhònɡ-yīxīn
萬貫	万贯	1029090104				wànɡuàn	
萬惡	万恶	1029090106				wàn’è	
萬惡淫為首	万恶淫为首	1029090107				wàn’è yín wéi shǒu	
萬斯大	万斯大	1029090108				wànsīdà	
萬斯同	万斯同	1029090109				wànsītónɡ	
萬紫千紅	万紫千红	1029090110				wànzǐ-qiānhónɡ	
萬無一失	万无一失	1029090112				wànwúyìshī	wànwúyīshī
萬象	万象	1029090113				wànxiànɡ	
萬象更新	万象更新	1029090114				wànxiànɡ-ɡēnɡxīn	
萬象森羅	万象森罗	1029090115				wànxiànɡ-sēnluó	
萬萬	万万	1029090118				wànwàn	
萬歲	万岁	1029090120				wànsuì	
萬歲爺	万岁爷	1029090121				wànsuìyé	
萬愚節	万愚节	1029090122				wànyújié	
萬端	万端	1029090123				wànduān	
萬福	万福	1029090124				wànfú	
萬壽宮	万寿宫	1029090126				wànshòuɡōnɡ	
萬壽無疆	万寿无疆	1029090128				wànshòu-wújiānɡ	
萬種風情	万种风情	1029090129				wànzhǒnɡ-fēnɡqínɡ	
萬維網	万维网	1029090131		★		wànwéiwǎnɡ	
萬箭攢心	万箭攒心	1029090132				wànjiàn-cuánxīn	
萬樹	万树	1029090133				wànshù	
萬機	万机	1029090134				wànjī	
萬頭攢動	万头攒动	1029090135				wàntóu-cuándònɡ	
萬曆帝	万历帝	1029090136				wànlìdì	
萬曆野獲編	万历野获编	1029090137				wànlì yěhuòbiān	
萬應靈丹	万应灵丹	1029090138				wànyìnɡ línɡdān	
萬壑松風圖	万壑松风图	1029090139				wànhuò sōnɡfēnɡ tú	wànhè sōnɡfēnɡ tú
萬鍾	万钟	1029090140				wànzhōnɡ	
萬類	万类	1029090141				wànlèi	
萬難	万难	1029090142	1			wànnán	
萬難	万难	1029090142	2			wànnàn	wànnán
萬寶箱	万宝箱	1029090143				wànbǎoxiānɡ	
萬籟	万籁	1029090145				wànlài	
萬籟俱寂	万籁俱寂	1029090146				wànlài-jùjí	wànlài-jùjì
萬籟無聲	万籁无声	1029090147				wànlài-wúshēnɡ	
萬變不離其宗	万变不离其宗	1029090148				wàn biàn bù lí qí zōnɡ	
萬靈丹	万灵丹	1029090149				wànlínɡdān	
禽	禽	1029100000				qín	
禽流	禽流	1029100001				qínliú	
禽流感	禽流感	1029100002				qínliúɡǎn	
禽蛋	禽蛋	1029100003				qíndàn	
禽滑釐	禽滑釐	1029100004				qínɡǔxī	
禽類	禽类	1029100005				qínlèi	
禽獸	禽兽	1029100006				qínshòu	
禾		1029110000				hé	
禾苗	禾苗	1029110003				hémiáo	
禾場	禾场	1029110004				héchǎnɡ	héchánɡ
禾譜	禾谱	1029110007				hépǔ	
私		1029120000				sī	
私人		1029120001				sīrén	
私了		1029120004				sīliǎo	
私下		1029120005				sīxià	
私下裡	私下里	1029120006				sīxiàlǐ	
私方		1029120009				sīfānɡ	
私心	私心	1029120010				sīxīn	
私心雜念	私心杂念	1029120011				sīxīn-zániàn	
私分	私分	1029120012				sīfēn	
私仇		1029120013				sīchóu	
私立		1029120014				sīlì	
私史		1029120017				sīshǐ	
私生子		1029120019				sīshēnɡzǐ	
私生子女	私生子女	1029120020				sīshēnɡ zǐnǚ	
私生活		1029120021				sīshēnɡhuó	
私宅		1029120023				sīzhái	
私交		1029120024				sījiāo	
私刑		1029120025				sīxínɡ	
私有	私有	1029120027				sīyǒu	
私有制	私有制	1029120028				sīyǒuzhì	
私有財產	私有财产	1029120030				sīyǒu cáichǎn	
私曲		1029120031				sīqū	
私企		1029120032				sīqì	sīqǐ
私印	私印	1029120033				sīyìn	
私自		1029120034				sīzì	
私名號	私名号	1029120036				sīmínɡhào	
私吞		1029120037				sītūn	
私車	私车	1029120038				sīchē	
私見	私见	1029120039				sījiàn	
私利		1029120040				sīlì	
私法		1029120041				sīfǎ	
私事		1029120044				sīshì	
私奔		1029120045				sībēn	
私門	私门	1029120046				sīmén	
私念	私念	1029120047				sīniàn	
私房	私房	1029120048	1			sīfánɡ	
私房	私房	1029120048	2			sīfánɡ	sīfɑnɡ
私房菜	私房菜	1029120049				sīfánɡcài	
私房話	私房话	1029120050				sīfánɡhuà	sīfɑnɡhuà
私房錢	私房钱	1029120051				sīfánɡqián	
私股	私股	1029120052				sīɡǔ	
私邸	私邸	1029120053				sīdǐ	
私活兒	私活儿	1029120056		★		sīhuór	
私相授受		1029120057				sīxiānɡshòushòu	
私怨	私怨	1029120059				sīyuàn	
私家		1029120061				sījiā	
私家車	私家车	1029120062				sījiāchē	
私校		1029120065		▲		sīxiào	
私校保險	私校保险	1029120066		▲		sīxiào bǎoxiǎn	
私淑		1029120069				sīshú	sīshū
私淑弟子		1029120070				sīshú dìzǐ	sīshū dìzǐ
私章		1029120071				sīzhānɡ	
私商	私商	1029120073				sīshānɡ	
私訪	私访	1029120074				sīfǎnɡ	
私產	私产	1029120075				sīchǎn	
私情	私情	1029120076				sīqínɡ	
私處	私处	1029120077	1			sīchù	
私處	私处	1029120077	2			sīchǔ	
私貨	私货	1029120079				sīhuò	
私梟	私枭	1029120080				sīxiāo	
私通	私通	1029120081				sītōnɡ	
私務	私务	1029120082				sīwù	
私娼	私娼	1029120083				sīchānɡ	
私訴	私诉	1029120084		★		sīsù	
私話	私话	1029120086				sīhuà	
私語	私语	1029120088				sīyǔ	
私塾		1029120089				sīshú	
私蓄	私蓄	1029120090				sīxù	
私圖	私图	1029120091				sītú	
私憤	私愤	1029120092				sīfèn	
私慾	私欲	1029120093				sīyù	
私德	私德	1029120094				sīdé	
私諡	私谥	1029120095				sīshì	
私學	私学	1029120097				sīxué	
私營	私营	1029120098				sīyínɡ	
私營企業	私营企业	1029120099				sīyínɡ qìyè	sīyínɡ qǐyè
私營經濟	私营经济	1029120100		★		sīyínɡ jīnɡjì	
私艱	私艰	1029120101				sījiān	
私藏	私藏	1029120102				sīcánɡ	
私闖	私闯	1029120103				sīchuǎnɡ	
私權	私权	1029120104				sīquán	
私囊		1029120105				sīnánɡ	
私鹽	私盐	1029120106				sīyán	
秀	秀	1029130000				xiù	
秀士	秀士	1029130001				xiùshì	
秀才	秀才	1029130002				xiùcái	xiùcɑi
秀才人情	秀才人情	1029130003				xiùcái rénqínɡ	xiùcɑi rénqínɡ
秀才不出門，能知天下事	秀才不出门，能知天下事	1029130004				xiùcái bù chūmén,nénɡ zhī tiānxiàshì	xiùcɑi bù chūmén,nénɡ zhī tiānxiàshì
秀才遇到兵	秀才遇到兵	1029130005				xiùcái yùdào bīnɡ	xiùcɑi yùdào bīnɡ
秀石疏林圖	秀石疏林图	1029130006				xiùshí shūlín tú	
秀外惠中	秀外慧中	1029130007				xiùwài-huìzhōnɡ	
秀外慧中	秀外慧中	1029130008				xiùwài-huìzhōnɡ	
秀而不實	秀而不实	1029130009				xiù’érbùshí	
秀色	秀色	1029130010				xiùsè	
秀色可餐	秀色可餐	1029130011				xiùsè-kěcān	
秀拔	秀拔	1029130012				xiùbá	
秀美	秀美	1029130014				xiùměi	
秀茁蘭枝	秀茁兰枝	1029130015				xiùzhuó-lánzhī	
秀俊	秀俊	1029130017				xiùjùn	
秀約	秀约	1029130018		▲		xiùyuē	
秀挺	秀挺	1029130019				xiùtǐnɡ	
秀氣	秀气	1029130020				xiùqì	xiùqi
秀逗	秀逗	1029130021				xiùdou	xiùdòu
秀場	秀场	1029130022				xiùchǎnɡ	
秀雅	秀雅	1029130024				xiùyǎ	
秀媚	秀媚	1029130025				xiùmèi	
秀髮	秀发	1029130026				xiùfǎ	xiùfà
秀麗	秀丽	1029130027				xiùlì	
秀麗遒勁	秀丽遒劲	1029130028				xiùlì-qiújìnɡ	
禿	秃	1029140000				tū	
禿山	秃山	1029140001				tūshān	
禿子	秃子	1029140002				tūzi	
禿子打傘	秃子打伞	1029140003				tūzi-dǎsǎn	
禿子跟著月亮走	秃子跟着月亮走	1029140004				tūzi ɡēnzhe yuèliànɡ zǒu	
禿尾巴	秃尾巴	1029140005				tūwěibɑ	
禿頂	秃顶	1029140006				tūdǐnɡ	
禿筆	秃笔	1029140007				tūbǐ	
禿瘡	秃疮	1029140008				tūchuānɡ	
禿髮	秃发	1029140009				tūfǎ	tūfà
禿頭	秃头	1029140011				tūtóu	
禿鷲	秃鹫	1029140012				tūjiù	
禿鷹	秃鹰	1029140013				tūyīnɡ	
秉		1029150000				bǐnɡ	
秉公		1029150001				bǐnɡɡōnɡ	
秉公執法	秉公执法	1029150002				bǐnɡɡōnɡ-zhífǎ	
秉正		1029150003				bǐnɡzhènɡ	
秉性		1029150004				bǐnɡxìnɡ	
秉直		1029150005				bǐnɡzhí	
秉承		1029150006				bǐnɡchénɡ	
秉政		1029150007				bǐnɡzhènɡ	
秉持	秉持	1029150008				bǐnɡchí	
秉筆	秉笔	1029150011				bǐnɡbǐ	
秉賦	秉赋	1029150012				bǐnɡfù	
秉燭	秉烛	1029150013				bǐnɡzhú	
秉燭夜遊	秉烛夜游	1029150014				bǐnɡzhú-yèyóu	
科		1029160000				kē	
科斗文		1029160002				kēdǒuwén	
科氏力		1029160003				kēshìlì	
科幻		1029160004				kēhuàn	
科目		1029160006				kēmù	
科甲		1029160007				kējiǎ	
科白		1029160008				kēbái	
科考		1029160010				kēkǎo	
科企		1029160011		★		kēqì	kēqǐ
科任	科任	1029160012				kērèn	
科克斯板塊	科克斯板块	1029160014		▲		kēkèsī bǎnkuài	
科技		1029160015				kējì	
科技戶	科技户	1029160016		★		kējìhù	
科技示範戶	科技示范户	1029160017		★		kējì shìfànhù	
科技扶貧	科技扶贫	1029160018		★		kējì fúpín	
科技含量	科技含量	1029160019		★		kējì hánliànɡ	
科技界		1029160020				kējìjiè	
科技興國	科技兴国	1029160023				kējì xīnɡɡuó	
科里奧利力	科里奥利力	1029160024				kēlǐ’àolìlì	
科系		1029160026				kēxì	
科盲	科盲	1029160027		★		kēmánɡ	
科協	科协	1029160028		★		kēxié	
科委	科委	1029160030		★		kēwěi	
科室		1029160031				kēshì	
科研		1029160032				kēyán	
科科斯板塊	科科斯板块	1029160034		★		kēkēsī bǎnkuài	
科班	科班	1029160035				kēbān	
科教	科教	1029160038				kējiào	
科教片	科教片	1029160039				kējiàopiàn	
科教興國	科教兴国	1029160041				kējiào xīnɡɡuó	
科處	科处	1029160042	1			kēchǔ	
科處	科处	1029160042	2			kēchù	
科第		1029160043				kēdì	
科普		1029160044				kēpǔ	
科場	科场	1029160045				kēchǎnɡ	
科貿	科贸	1029160046				kēmào	
科試	科试	1029160047				kēshì	
科頭跣足	科头跣足	1029160053				kētóu-xiǎnzú	
科學	科学	1029160054				kēxué	
科學工業園區	科学工业园区	1029160055		▲		kēxué ɡōnɡyè yuánqū	
科學中藥	科学中药	1029160057				kēxué zhōnɡyào	
科學社會主義	科学社会主义	1029160059				kēxué shèhuì zhǔyì	
科學性	科学性	1029160060				kēxuéxìnɡ	
科學計數法	科学计数法	1029160061		★		kēxué jìshùfǎ	
科學城	科学城	1029160062		★		kēxuéchénɡ	
科學界	科学界	1029160063				kēxuéjiè	
科學家	科学家	1029160064				kēxuéjiā	
科學記法	科学记法	1029160065		▲		kēxué jìfǎ	
科學院	科学院	1029160067		★		kēxuéyuàn	
科學發展觀	科学发展观	1029160072		★		kēxué fāzhǎnɡuān	
科學園區	科学园区	1029160073		▲		kēxué yuánqū	
科學學	科学学	1029160075		★		kēxuéxué	
科舉	科举	1029160076				kējǔ	
科舉制度	科举制度	1029160077				kējǔ zhìdù	
秒		1029170000				miǎo	
秒表		1029170001				miǎobiǎo	
秒針	秒针	1029170003				miǎozhēn	
秒殺	秒杀	1029170004				miǎoshā	
秋	秋	1029180000				qiū	
秋千	秋千	1029180002				qiūqiān	
秋子梨	秋子梨	1029180003				qiūzǐlí	
秋天	秋天	1029180004				qiūtiān	
秋日	秋日	1029180005				qiūrì	
秋分	秋分	1029180006				qiūfēn	
秋分點	秋分点	1029180007				qiūfēndiǎn	
秋月春風	秋月春风	1029180009				qiūyuè-chūnfēnɡ	
秋水	秋水	1029180010				qiūshuǐ	
秋水伊人	秋水伊人	1029180012				qiūshuǐ-yīrén	
秋令	秋令	1029180013				qiūlìnɡ	
秋汛	秋汛	1029180014				qiūxùn	
秋安	秋安	1029180015				qiū’ān	
秋衣	秋衣	1029180016				qiūyī	
秋老虎	秋老虎	1029180017				qiūlǎohǔ	
秋光	秋光	1029180018				qiūɡuānɡ	
秋色	秋色	1029180019				qiūsè	
秋收	秋收	1029180020				qiūshōu	
秋波	秋波	1029180022				qiūbō	
秋官	秋官	1029180023				qiūɡuān	
秋社	秋社	1029180024				qiūshè	
秋夜感懷詩	秋夜感怀诗	1029180025				qiūyè ɡǎnhuái shī	
秋拍	秋拍	1029180027				qiūpāi	
秋季	秋季	1029180028				qiūjì	
秋亭詩思圖	秋亭诗思图	1029180029				qiūtínɡ shīsī tú	
秋祉	秋祉	1029180030				qiūzhǐ	
秋胡	秋胡	1029180031				qiūhú	
秋胡變文	秋胡变文	1029180032				qiūhú biànwén	
秋後算帳	秋后算账	1029180034				qiūhòu-suànzhànɡ	
秋風	秋风	1029180036				qiūfēnɡ	
秋風紈扇圖	秋风纨扇图	1029180037				qiūfēnɡ wánshàn tú	
秋風掃落葉	秋风扫落叶	1029180038				qiūfēnɡ sǎo luòyè	
秋風貫驢耳	秋风贯驴耳	1029180039				qiūfēnɡ ɡuàn lǘ’ěr	
秋風過耳	秋风过耳	1029180040				qiūfēnɡ-ɡuò’ěr	
秋海棠	秋海棠	1029180042				qiūhǎitánɡ	
秋高氣爽	秋高气爽	1029180043				qiūɡāo-qìshuǎnɡ	
秋庭戲嬰	秋庭戏婴	1029180044				qiūtínɡ-xìyīnɡ	
秋耕	秋耕	1029180045				qiūɡēnɡ	
秋扇	秋扇	1029180046				qiūshàn	
秋娘	秋娘	1029180047				qiūniánɡ	
秋涼	秋凉	1029180048				qiūliánɡ	
秋毫	秋毫	1029180049				qiūháo	
秋毫無犯	秋毫无犯	1029180050				qiūháo-wúfàn	
秋荼密網	秋荼密网	1029180051				qiūtú-mìwǎnɡ	
秋莊稼	秋庄稼	1029180052				qiūzhuānɡjià	qiūzhuānɡjiɑ
秋假	秋假	1029180053		★		qiūjià	
秋景	秋景	1029180054				qiūjǐnɡ	
秋意	秋意	1029180055				qiūyì	
秋試	秋试	1029180056				qiūshì	
秋祺	秋祺	1029180057				qiūqí	
秋節	秋节	1029180058				qiūjié	
秋裝	秋装	1029180059				qiūzhuānɡ	
秋種	秋种	1029180060				qiūzhònɡ	
秋審	秋审	1029180061				qiūshěn	
秋瑾	秋瑾	1029180062				qiūjǐn	
秋播	秋播	1029180063				qiūbò	qiūbō
秋賦	秋赋	1029180064				qiūfù	
秋褲	秋裤	1029180065		★		qiūkù	
秋興八首	秋兴八首	1029180067				qiūxìnɡ bāshǒu	
秋興賦	秋兴赋	1029180068				qiūxìnɡfù	
秋聲	秋声	1029180070				qiūshēnɡ	
秋聲賦	秋声赋	1029180071				qiūshēnɡfù	
秋顏	秋颜	1029180073				qiūyán	
秋糧	秋粮	1029180074				qiūliánɡ	
秤		1029190000	1			chènɡ	
秤		1029190000	2		▲	pínɡ	
秤星		1029190003				chènɡxīnɡ	
秤砣		1029190004				chènɡtuó	
秤紐	秤纽	1029190005				chènɡniǔ	
秤毫		1029190006				chènɡháo	
秤桿	秤杆	1029190007				chènɡɡǎn	
秤鉤	秤钩	1029190009				chènɡɡōu	
秤盤	秤盘	1029190010				chènɡpán	
秤錘	秤锤	1029190012				chènɡchuí	
秣		1029200000				mò	
秣馬厲兵	秣马厉兵	1029200001				mòmǎ-lìbīnɡ	
秣陵春	秣陵春	1029200002				mòlínɡchūn	
秧	秧	1029210000				yānɡ	
秧子	秧子	1029210001				yānɡzi	
秧田	秧田	1029210002				yānɡtián	
秧苗	秧苗	1029210003				yānɡmiáo	
秧畦	秧畦	1029210005				yānɡqí	
秧歌	秧歌	1029210006				yānɡɡē	yānɡɡe
秧歌劇	秧歌剧	1029210007				yānɡɡējù	yānɡɡejù
秧齡	秧龄	1029210009				yānɡlínɡ	
租		1029220000				zū	
租子		1029220001				zūzi	
租戶	租户	1029220002				zūhù	
租用		1029220003				zūyònɡ	
租佃		1029220004				zūdiàn	
租金		1029220005				zūjīn	
租界		1029220006				zūjiè	
租屋		1029220007				zūwū	
租約	租约	1029220008				zūyuē	
租借		1029220009				zūjiè	
租借地	租借地	1029220010				zūjièdì	
租稅	租税	1029220012				zūshuì	
租賃	租赁	1029220014				zūlìn	
租價	租价	1029220015				zūjià	
租錢	租钱	1029220016				zūqián	
租讓	租让	1029220017				zūrànɡ	
秦	秦	1029230000				qín	
秦二世	秦二世	1029230001				qín’èrshì	
秦九韶	秦九韶	1029230002				qínjiǔsháo	
秦士錄	秦士录	1029230003				qínshìlù	
秦太師東窗事犯	秦太师东窗事犯	1029230004				qíntàishī dōnɡchuānɡ shìfàn	
秦公簋	秦公簋	1029230005				qínɡōnɡɡuǐ	
秦末農民戰爭	秦末农民战争	1029230006				qínmò nónɡmín zhànzhēnɡ	
秦可卿	秦可卿	1029230007				qínkěqīnɡ	
秦艽	秦艽	1029230008				qínjiāo	
秦良玉	秦良玉	1029230009				qínliánɡyù	
秦孝公	秦孝公	1029230010				qínxiàoɡōnɡ	
秦兵馬俑坑	秦兵马俑坑	1029230011				qín bīnɡmǎyǒnɡ kēnɡ	
秦刻石	秦刻石	1029230012				qínkèshí	
秦長城遺址	秦长城遗址	1029230013				qín chánɡchénɡ yízhǐ	
秦叔寶	秦叔宝	1029230014				qínshúbǎo	qínshūbǎo
秦明	秦明	1029230015				qínmínɡ	
秦併六國平話	秦并六国平话	1029230016				qín bìnɡ liùɡuó pínɡhuà	
秦始皇	秦始皇	1029230017				qínshǐhuánɡ	
秦始皇陵	秦始皇陵	1029230018				qínshǐhuánɡlínɡ	
秦胡	秦胡	1029230019				qínhú	
秦咸陽城遺址	秦咸阳城遗址	1029230020				qín xiányánɡchénɡ yízhǐ	
秦昭王	秦昭王	1029230021				qínzhāowánɡ	
秦昭襄王	秦昭襄王	1029230022				qínzhāoxiānɡwánɡ	
秦香蓮	秦香莲	1029230023				qínxiānɡlián	
秦俑	秦俑	1029230024				qínyǒnɡ	
秦庭之哭	秦庭之哭	1029230025				qíntínɡzhīkū	
秦晉	秦晋	1029230026				qínjìn	
秦晉之好	秦晋之好	1029230027				qínjìnzhīhǎo	
秦晉之緣	秦晋之缘	1029230028				qínjìnzhīyuán	
秦書八體	秦书八体	1029230029				qínshū bātǐ	
秦渠	秦渠	1029230030				qínqú	
秦詔版	秦诏版	1029230031				qínzhàobǎn	
秦惠文王	秦惠文王	1029230034				qínhuìwénwánɡ	
秦腔	秦腔	1029230035				qínqiānɡ	
秦雍城遺址	秦雍城遗址	1029230036				qín yōnɡchénɡ yízhǐ	
秦墓竹簡	秦墓竹简	1029230037				qínmù zhújiǎn	
秦箏	秦筝	1029230038				qínzhēnɡ	
秦樓楚館	秦楼楚馆	1029230039				qínlóu-chǔɡuǎn	
秦篆	秦篆	1029230040				qínzhuàn	
秦穆公	秦穆公	1029230041				qínmùɡōnɡ	
秦檜	秦桧	1029230042				qínkuài	qínhuì
秦簡夫	秦简夫	1029230043				qínjiǎnfū	
秦魏家遺址	秦魏家遗址	1029230044				qín wèijiā yízhǐ	
秦懷玉	秦怀玉	1029230045				qínhuáiyù	
秦瓊	秦琼	1029230046				qínqiónɡ	
秦鏡高懸	秦镜高悬	1029230047				qínjìnɡ-ɡāoxuán	
秦韜玉	秦韬玉	1029230048				qíntāoyù	
秦觀	秦观	1029230049				qínɡuān	
秩		1029240000				zhì	
秩序		1029240001				zhìxù	
移		1029250000				yí	
移山倒海		1029250003				yíshān-dǎohǎi	
移天易日		1029250005				yítiān-yìrì	
移用		1029250006				yíyònɡ	
移民		1029250007				yímín	
移交		1029250009				yíjiāo	
移孝作忠	移孝作忠	1029250010				yíxiào-zuòzhōnɡ	
移位		1029250011				yíwèi	
移花接木	移花接木	1029250013				yíhuā-jiēmù	
移易		1029250014				yíyì	
移居		1029250015				yíjū	
移苗	移苗	1029250016				yímiáo	
移風易俗	移风易俗	1029250017				yífēnɡ-yìsú	
移送	移送	1029250018				yísònɡ	
移栽		1029250019				yízāi	
移師	移师	1029250021				yíshī	
移情	移情	1029250023				yíqínɡ	
移情作用	移情作用	1029250025				yíqínɡ zuòyònɡ	
移動	移动	1029250026				yídònɡ	
移動式	移动式	1029250027				yídònɡshì	
移動存儲器	移动存储器	1029250028		★		yídònɡ cúnchúqì	yídònɡ cúnchǔqì
移動屋	移动屋	1029250029		★		yídònɡwū	
移動通信	移动通信	1029250030		★		yídònɡ tōnɡxìn	
移動通網	移动通网	1029250031		★		yídònɡ tōnɡwǎnɡ	
移動硬碟	移动硬碟	1029250032		▲		yídònɡ yìnɡdié	
移動硬盤	移动硬盘	1029250033		★		yídònɡ yìnɡpán	
移動電視	移动电视	1029250034		★		yídònɡ diànshì	
移動電源	移动电源	1029250035		★		yídònɡ diànyuán	
移動電話	移动电话	1029250036		★		yídònɡ diànhuà	
移動靶	移动靶	1029250037				yídònɡbǎ	
移動辦公	移动办公	1029250038		★		yídònɡ bànɡōnɡ	
移動操作系統	移动操作系统	1029250039		★		yídònɡ cāozuò xìtǒnɡ	
移植		1029250041				yízhí	
移牒	移牒	1029250042				yídié	
移解	移解	1029250043				yíjiè	
移樽就教	移樽就教	1029250044				yízūn-jiùjiào	
移轉	移转	1029250045				yízhuǎn	
稍	稍	1029260000	1			shāo	
稍	稍	1029260000	2			shāo	shào
稍加	稍加	1029260001				shāojiā	
稍安勿躁	稍安勿躁	1029260002				shāo’ān-wùzào	
稍安毋躁	稍安毋躁	1029260003				shāo’ān-wúzào	
稍有	稍有	1029260004				shāoyǒu	
稍事	稍事	1029260005				shāoshì	
稍為	稍为	1029260006				shāowéi	
稍後	稍后	1029260007				shāohòu	
稍候	稍候	1029260008				shāohòu	
稍息	稍息	1029260009				shāoxí	shàoxī
稍許	稍许	1029260010				shāoxǔ	
稍頃	稍顷	1029260011				shāoqǐnɡ	
稍稍	稍稍	1029260012				shāoshāo	
稍勝一籌	稍胜一筹	1029260013				shāoshènɡ-yìchóu	shāoshènɡ-yīchóu
稍微	稍微	1029260014				shāowéi	shāowēi
稍縱即逝	稍纵即逝	1029260015				shāozònɡ-jíshì	
稈	秆	1029270000				ɡǎn	
程	程	1029280000				chénɡ	
程大位	程大位	1029280001				chénɡdàwèi	
